Line	File	Error
3599	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET007.wav	File not found
3621	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE053.wav	File not found
3674	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR271.wav	File not found
3706	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE241.wav	File not found
3710	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF218.wav	File not found
3733	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET057.wav	File not found
3755	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF012.wav	File not found
3763	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF065.wav	File not found
3790	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE209.wav	File not found
3847	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR179.wav	File not found
4127	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE220.wav	File not found
4145	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET074.wav	File not found
4164	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR062.wav	File not found
4168	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF222.wav	File not found
4196	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/TBG057.wav	File not found
4232	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR097.wav	File not found
4239	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR224.wav	File not found
4262	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/pay5.wav	File not found
4294	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET290.wav	File not found
4312	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/pay63.wav	File not found
4328	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF027.wav	File not found
4529	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET283.wav	File not found
4545	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF023.wav	File not found
4550	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/TBG035.wav	File not found
4590	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR259.wav	File not found
4649	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR283.wav	File not found
4694	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET022.wav	File not found
4734	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET029.wav	File not found
4778	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/FM232.wav	File not found
4814	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/WE221.wav	File not found
4903	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF111.wav	File not found
4933	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/ET065.wav	File not found
4964	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF230.wav	File not found
4996	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR093.wav	File not found
5009	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/OR101.wav	File not found
5048	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/TBG013.wav	File not found
5076	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF013.wav	File not found
5095	/media/incode/d7f9afb5-6e4e-4ee6-b217-874af1bc6256/data/Train/Data/Data/Marina_kalam_books/csmNewResampled/wavs/VF018.wav	File not found
